6/7/2019 3:24:02 PM FEED MONEY:            $9.05     $11.00
6/7/2019 3:24:03 PM GIVE CHANGE:           $11.00    $0.00
6/7/2019 11:26:20 AM FEED MONEY:            $0.00     $1.00
6/7/2019 11:27:28 AM    FEED MONEY:            $0.00     $1.00
6/7/2019 11:27:29 AM    FEED MONEY:            $1.00     $2.00
6/7/2019 11:27:30 AM    FEED MONEY:            $2.00     $3.00
6/7/2019 11:27:30 AM    FEED MONEY:            $3.00     $4.00
6/7/2019 11:27:30 AM    FEED MONEY:            $4.00     $5.00
6/7/2019 11:48:04 AM   FEED MONEY:            $0.00     $1.00
6/7/2019 11:49:44 AM   FEED MONEY:            $0.00     $1.00
6/7/2019 11:55:59 AM   FEED MONEY:            $0.00     $1.00
6/7/2019 11:57:31 AM   FEED MONEY:            $0.00     $1.00
6/7/2019 11:58:09 AM   FEED MONEY:            $1.00     $2.00
6/7/2019 11:58:26 AM   Cowtales B2            $2.00     $0.50
6/7/2019 11:58:38 AM   FEED MONEY:            $0.50     $4.00
6/7/2019 11:59:05 AM   Potato Crisps A1       $4.00     $0.95
6/7/2019 11:59:57 AM   FEED MONEY:            $0.00     $30.00
6/7/2019 12:00:14 PM   Chiclets D3            $30.00    $29.25
6/7/2019 12:01:28 PM   FEED MONEY:            $0.00     $10.00
6/7/2019 12:01:39 PM   Potato Crisps A1       $10.00    $6.95
6/7/2019 12:01:54 PM   GIVE CHANGE:           $6.95     $0.00
6/7/2019 12:03:06 PM   FEED MONEY:            $0.00     $10.00
6/7/2019 12:03:24 PM   Potato Crisps A1       $10.00    $6.95
6/7/2019 12:03:43 PM   GIVE CHANGE:           $6.95     $0.00
6/7/2019 12:11:22 PM   FEED MONEY:            $0.00     $1.00
6/7/2019 12:11:37 PM   FEED MONEY:            $0.00     $10.00
6/7/2019 12:11:46 PM   Potato Crisps A1       $10.00    $6.95
6/7/2019 12:11:58 PM   Little League Chew D2  $6.95     $6.00
6/7/2019 12:15:07 PM   FEED MONEY:            $0.00     $100.00
6/7/2019 12:15:14 PM   U-Chews D1             $100.00   $99.15
6/7/2019 12:15:21 PM   U-Chews D1             $99.15    $98.30
6/7/2019 12:15:28 PM   U-Chews D1             $98.30    $97.45
6/7/2019 12:15:34 PM   U-Chews D1             $97.45    $96.60
6/7/2019 12:15:37 PM   U-Chews D1             $96.60    $95.75
6/7/2019 12:15:41 PM   U-Chews D1             $95.75    $94.90
6/7/2019 1:13:47 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:14:01 PM    Dr. Salt C2            $10.00    $8.50
6/7/2019 1:14:10 PM    GIVE CHANGE:           $8.50     $0.00
6/7/2019 1:14:40 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:14:43 PM    Potato Crisps A1       $10.00    $6.95
6/7/2019 1:15:24 PM    Moonpie B1             $6.95     $5.15
6/7/2019 1:16:45 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:16:59 PM    Mountain Melter C3     $10.00    $8.50
6/7/2019 1:18:11 PM    Potato Crisps A1       $8.50     $5.45
6/7/2019 1:18:23 PM    GIVE CHANGE:           $5.45     $0.00
6/7/2019 1:19:07 PM    FEED MONEY:            $0.00     $100.00
6/7/2019 1:19:15 PM    Heavy C4               $100.00   $98.50
6/7/2019 1:19:28 PM    Potato Crisps A1       $98.50    $95.45
6/7/2019 1:19:34 PM    Potato Crisps A1       $95.45    $92.40
6/7/2019 1:22:01 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:22:07 PM    Potato Crisps A1       $10.00    $6.95
6/7/2019 1:22:12 PM    Potato Crisps A1       $6.95     $3.90
6/7/2019 1:23:42 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:23:47 PM    U-Chews D1             $10.00    $9.15
6/7/2019 1:23:51 PM    U-Chews D1             $9.15     $8.30
6/7/2019 1:23:54 PM    GIVE CHANGE:           $8.30     $0.00
6/7/2019 1:24:06 PM    FEED MONEY:            $0.00     $10.00
6/7/2019 1:24:14 PM    U-Chews D1             $10.00    $9.15
6/7/2019 1:24:17 PM    U-Chews D1             $9.15     $8.30
6/7/2019 1:24:44 PM    U-Chews D1             $8.30     $7.45
